CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41019990000,Oregon,Douglas,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,
41021960100,Oregon,Gilliam,1883,940,943,7.8,90.1,1.0,1.1,0.0,0.0,1435,44293.0,4106.0,25227.0,2869.0,10.0,1.4,28.1,10.9,23.2,18.1,19.7,71.2,8.3,0.7,10.1,2.2,7.5,14.2,783,67.7,24.4,7.5,0.4,9.2
41023960100,Oregon,Grant,1990,969,1021,1.7,94.5,0.1,1.3,1.0,0.0,1629,30905.0,6389.0,20101.0,2191.0,20.0,15.3,29.1,19.6,17.5,20.3,13.5,58.9,15.7,0.0,4.5,3.5,17.3,26.4,725,57.4,27.0,15.3,0.3,15.0
41023960200,Oregon,Grant,5286,2625,2661,4.2,91.4,0.4,0.5,0.2,0.0,4257,39839.0,3914.0,23455.0,2126.0,14.4,19.0,36.7,17.9,22.8,11.5,11.1,77.4,10.0,1.1,5.8,0.7,5.0,15.9,2153,57.8,30.1,11.5,0.7,6.8
41025960100,Oregon,Harney,4995,2445,2550,5.5,86.4,0.6,5.8,0.2,0.2,3956,36913.0,4151.0,20227.0,1902.0,18.4,30.3,28.4,20.1,24.6,18.0,9.0,79.2,6.5,0.4,5.2,2.2,6.5,13.1,1946,54.1,33.4,12.5,0.0,19.1
41025960200,Oregon,Harney,2234,1187,1047,2.7,90.9,0.7,0.4,1.4,0.0,1680,39567.0,3802.0,22859.0,2626.0,16.4,22.3,51.7,10.2,15.3,17.7,5.1,53.3,8.5,0.5,11.2,1.6,24.9,23.1,955,51.8,21.7,23.6,2.9,9.2
41027950100,Oregon,Hood River,3955,2063,1892,22.0,71.7,0.8,0.9,1.3,0.0,2789,54593.0,11711.0,26267.0,3983.0,15.5,29.0,31.2,10.2,21.2,24.1,13.3,64.7,13.8,0.1,3.2,5.5,12.7,22.8,1934,78.0,14.6,7.4,0.0,4.9
41027950200,Oregon,Hood River,6656,3233,3423,14.9,80.3,0.9,0.0,3.8,0.0,4850,62933.0,8749.0,33053.0,3646.0,9.8,17.5,43.1,17.4,15.3,15.6,8.6,75.0,8.3,0.2,2.8,3.3,10.5,13.7,3469,72.4,13.7,13.9,0.0,4.3
41027950300,Oregon,Hood River,5793,2798,2995,28.0,68.1,0.0,0.1,1.1,0.0,3681,42841.0,8476.0,24850.0,3273.0,23.8,42.2,34.1,22.5,21.6,6.0,15.8,65.3,8.7,0.0,16.4,4.5,5.1,17.2,2917,84.6,12.0,3.4,0.0,3.5
41027950400,Oregon,Hood River,6345,3232,3113,54.5,41.3,0.3,2.1,0.5,0.1,3177,59775.0,3985.0,25649.0,6704.0,9.6,11.5,31.3,12.9,16.2,20.7,18.9,70.5,11.3,0.0,6.3,2.1,9.9,13.8,2931,81.8,13.5,4.7,0.0,7.9
41029000100,Oregon,Jackson,2077,1110,967,34.8,60.7,0.9,1.6,0.7,0.0,1322,15917.0,2425.0,9766.0,2002.0,60.6,82.6,9.7,28.3,22.3,21.1,18.6,42.6,16.8,3.6,23.9,6.1,6.9,17.7,650,86.9,6.3,6.8,0.0,22.0
41029000201,Oregon,Jackson,3523,1918,1605,28.2,66.9,0.9,2.1,0.0,0.0,2416,26898.0,3927.0,12864.0,1395.0,34.3,45.7,15.7,34.5,17.6,15.4,16.8,69.0,8.9,3.4,6.8,5.5,6.4,15.6,1398,87.0,8.6,4.4,0.0,17.7
41029000202,Oregon,Jackson,4000,1845,2155,28.6,63.5,2.6,0.8,0.0,0.0,2459,24849.0,7198.0,13718.0,2180.0,33.8,43.4,13.2,32.1,25.6,14.9,14.3,76.8,13.6,0.0,2.7,4.5,2.5,20.1,1712,83.6,7.9,7.9,0.6,13.8
41029000203,Oregon,Jackson,4019,2024,1995,25.1,70.7,0.5,0.3,0.3,0.0,2670,40017.0,4716.0,16894.0,1421.0,18.8,23.1,24.5,21.1,27.1,9.6,17.8,73.5,10.7,2.0,7.8,2.9,3.1,17.7,1909,79.8,12.3,7.6,0.4,10.6
41029000300,Oregon,Jackson,5781,2936,2845,16.1,79.2,0.1,0.3,1.6,0.0,3996,30949.0,4869.0,16163.0,1792.0,28.9,32.3,17.8,24.9,32.9,5.4,19.0,83.3,9.4,2.5,1.1,2.5,1.2,15.4,2753,87.0,7.9,5.1,0.0,8.5
41029000403,Oregon,Jackson,3979,1908,2071,3.9,91.0,0.2,0.0,0.6,0.6,2994,63309.0,7319.0,31478.0,4804.0,5.7,8.3,37.8,26.3,20.4,5.6,10.0,88.0,3.3,2.2,2.0,1.9,2.7,14.6,1575,76.4,16.7,6.9,0.0,12.5
41029000404,Oregon,Jackson,4680,2293,2387,6.0,88.7,0.0,0.0,1.1,0.0,3668,69160.0,8157.0,29490.0,3327.0,8.2,10.6,46.7,17.1,24.0,6.8,5.4,89.4,5.6,0.0,0.4,1.3,3.3,17.6,2324,77.6,15.3,7.1,0.0,4.6
41029000405,Oregon,Jackson,4305,2120,2185,12.3,84.0,1.4,0.0,0.0,0.8,3132,43008.0,6142.0,20416.0,2402.0,22.9,32.7,27.6,26.5,31.1,4.1,10.6,81.9,5.4,3.3,2.1,4.4,3.0,13.1,1957,85.3,9.0,5.3,0.4,16.4
41029000406,Oregon,Jackson,4479,2132,2347,14.4,70.4,0.0,0.0,2.9,8.1,3164,42311.0,8192.0,20123.0,2079.0,21.3,33.4,24.3,31.0,29.0,3.4,12.4,78.1,12.7,0.8,2.9,1.3,4.2,13.6,2023,79.3,10.8,9.9,0.0,9.5
41029000501,Oregon,Jackson,2929,1602,1327,13.6,83.6,0.0,0.4,0.0,0.3,2113,35488.0,4635.0,20722.0,2624.0,30.2,41.0,33.9,26.1,18.3,15.4,6.3,81.4,7.5,1.9,6.0,2.2,0.9,17.0,1425,78.2,10.7,10.6,0.5,11.6
41029000502,Oregon,Jackson,5309,2512,2797,9.9,81.0,1.5,0.0,2.8,0.0,3895,29099.0,4781.0,16941.0,2611.0,30.0,32.4,15.9,40.1,24.2,7.8,12.1,68.3,8.0,3.6,8.7,3.5,8.0,15.9,2157,90.7,5.8,3.5,0.0,6.6
41029000601,Oregon,Jackson,6657,3337,3320,4.7,91.4,0.0,0.0,0.8,0.0,5228,73909.0,6442.0,39758.0,6493.0,12.4,19.8,49.2,14.5,21.9,7.6,6.8,82.9,6.6,0.0,0.8,5.1,4.6,18.2,2533,74.8,15.9,9.2,0.0,12.8
41029000602,Oregon,Jackson,5415,2385,3030,8.6,86.6,0.0,0.0,3.0,0.2,4696,38292.0,4111.0,31176.0,3931.0,20.6,51.7,41.5,23.6,23.9,3.4,7.6,71.9,14.4,0.0,4.0,4.6,5.1,18.3,1522,77.6,10.3,12.1,0.0,14.5
